id,value,key
1,START,START
1,de,EX
1,l'acte,EX
1,.,D
1,END,END
2,START,START
2,2513,ID
2,.,D
2,Tramways,N
2,de,N
2,Nice,N
2,(,D
2,Société,N
2,nouvelle,N
2,des,N
2,),D
2,",",D
2,à,AD
2,Bruxelles,AD
2,.,D
2,—,D
2,Bilan,EV
2,et,EV
2,compte,EV
2,de,EV
2,profits,EV
2,et,EV
2,pertes,EV
2,au,EV
2,31,EV
2,août,EV
2,1888,EV
2,.,D
2,END,END
3,START,START
3,778,ID
3,.,D
3,Tramways,N
3,de,N
3,Prague,N
3,",",D
3,à,AD
3,Bruxelles,AD
3,.,D
3,—,D
3,Bilan,EV
3,et,EV
3,compte,EV
3,de,EV
3,profits,EV
3,et,EV
3,pertes,EV
3,au,EV
3,31,EV
3,décembre,EV
3,1887,EV
3,.,D
3,END,END
4,START,START
4,1713,ID
4,.,D
4,Tramways,N
4,de,N
4,Prague,N
4,",",D
4,à,AD
4,Bruxelles,AD
4,.,D
4,—,D
4,Assemblée,EV
4,générale,EV
4,du,EV
4,31,EV
4,juillet,EV
4,1888,EV
4,.,D
4,END,END
5,START,START
5,2317,ID
5,.,D
5,Tramways,N
5,de,N
5,Prague,N
5,",",D
5,à,AD
5,Bruxelles,AD
5,.,D
5,—,D
5,Assemblée,EV
5,générale,EV
5,du,EX
5,3,EX
5,novembre,EX
5,1888,EX
5,.,D
5,END,END
6,START,START
6,2318,ID
6,.,D
6,Tramways,N
6,de,N
6,Prague,N
6,",",D
6,à,AD
6,Bruxelles,AD
6,.,D
6,—,D
6,Augmentation,EV
6,du,EV
6,capital,EV
6,social,EV
6,.,D
6,END,END
7,START,START
7,943,ID
7,.,D
7,Tramways,N
7,de,N
7,Reims,N
7,(,D
7,Compagnie,N
7,des,N
7,),D
7,",",D
7,à,AD
7,Bruxelles,AD
7,.,D
7,—,D
7,Bilan,EV
7,et,EV
7,compte,EV
7,de,EV
7,profits,EV
7,et,EV
7,pertes,EV
7,au,EV
7,31,EV
7,décembre,EV
7,1887,EV
7,.,D
7,END,END
8,START,START
8,4125,ID
8,.,D
8,Tramways,N
8,des,N
8,Romagnes,N
8,",",D
8,à,AD
8,Tilleur,AD
8,lez,AD
8,-,D
8,Liège,AD
8,.,D
8,—,D
8,Bilan,EV
8,et,EV
8,compte,EV
8,de,EV
8,profits,EV
8,et,EV
8,pertes,EV
8,au,EV
8,31,EV
8,décembre,EV
8,1887,EV
8,.,D
8,END,END
9,START,START
9,1126,ID
9,.,D
9,Tramways,N
9,des,N
9,Romagnes,N
9,",",D
9,à,AD
9,Tilleur,AD
9,lèz,AD
9,-,D
9,Liège,AD
9,.,D
9,—,D
9,Assemblée,EV
9,géné,EV
9,-,D
9,rale,EV
9,du,EX
9,16,EX
9,avril,EX
9,1888,EX
9,.,D
9,END,END
10,START,START
10,577,ID
10,.,D
10,Tramways,N
10,de,N
10,Rostoff,N
10,-,D
10,sur,N
10,-,D
10,le,N
10,-,D
10,Don,N
10,",",D
10,à,AD
10,Bruxelles,EV
10,.,D
10,—,D
10,Assemblée,EV
10,générale,EV
10,du,EV
10,24,EV
10,janvier,EV
10,1888,EV
10,.,D
10,END,END
11,START,START
11,1040,ID
11,.,D
11,amways,N
11,de,N
11,Rostoff,N
11,-,D
11,sur,N
11,-,D
11,le,N
11,-,D
11,Don,N
11,",",D
11,à,AD
11,Bruxelles,EV
11,.,D
11,—,D
11,Assemblée,EV
11,géné,EV
11,-,D
11,rale,EV
11,du,EV
11,31,EV
11,décembre,EV
11,1887,EV
11,.,D
11,END,END
12,START,START
12,1829,ID
12,.,D
12,Tramways,N
12,de,N
12,Rostoff,N
12,-,D
12,sur,N
12,-,D
12,le,N
12,-,D
12,Don,N
12,",",D
12,à,AD
12,Bruxelles,EV
12,.,D
12,—,D
12,Assemblée,EV
12,géné,EV
12,-,D
12,rale,EV
12,du,EV
12,23,EV
12,août,EV
12,1888,EV
12,.,D
12,END,END
13,START,START
13,2120,ID
13,.,D
13,Tramways,N
13,de,N
13,Tillis,N
13,",",D
13,à,AD
13,Bruxelles,AD
13,.,D
13,—,D
13,Bilan,EV
13,et,EV
13,compte,EV
13,de,EV
13,profits,EV
13,et,EV
13,pertes,EV
13,au,EV
13,30,EV
13,juin,EV
13,1888,EV
13,.,D
13,END,END
14,START,START
14,1610,ID
14,.,D
14,Tramways,N
14,de,N
14,Tunis,N
14,",",D
14,à,AD
14,Liège,AD
14,.,D
14,—,D
14,Constitution,EV
14,.,D
14,END,END
15,START,START
15,1611,ID
15,.,D
15,Tramways,N
15,de,N
15,Tunis,N
15,",",D
15,à,AD
15,Liège,AD
15,.,D
15,—,D
15,Nomination,EV
15,d'administrateurs,EV
15,.,D
15,END,END
16,START,START
16,1048,ID
16,.,D
16,Tramways,N
16,de,N
16,Turin,N
16,",",D
16,à,AD
16,Bruxelles,AD
16,.,D
16,—,D
16,Assemblée,EV
16,générale,EV
16,du,EX
16,17,EX
16,avril,EX
16,1888,EX
16,.,D
16,END,END
17,START,START
17,1049,ID
17,.,D
17,Tramways,N
17,de,N
17,Turin,N
17,",",D
17,à,AD
17,Bruxelles,AD
17,.,D
17,—,D
17,Bilan,EV
17,et,EV
17,compte,EV
17,de,EV
17,profits,EV
17,et,EV
17,pertes,EV
17,au,EV
17,31,EV
17,décembre,EV
17,1887,EV
17,.,D
17,END,END
18,START,START
18,880,ID
18,.,D
18,Tramways,N
18,de,N
18,Varsovie,N
18,",",D
18,à,AD
18,Bruxelles,AD
18,.,D
18,—,D
18,Bilan,EV
18,et,EV
18,compte,EV
18,de,EV
18,profits,EV
18,et,EV
18,pertes,EV
18,au,EV
18,31,EV
18,décembre,EV
18,1887,EV
18,.,D
18,END,END
19,START,START
19,766,ID
19,.,D
19,Tramways,N
19,d'Odessa,N
19,",",D
19,à,AD
19,Bruxelles,AD
19,.,D
19,—,D
19,Bilan,EV
19,et,EV
19,compte,EV
19,de,EV
