id,value,key
1,START,START
1,de,EX
1,l'acte,EX
1,.,D
1,END,END
2,START,START
2,1840,ID
2,.,D
2,Farenbacht,N
2,et,N
2,Kessels,N
2,(,D
2,successeurs,EX
2,de,EX
2,E,N
2,.,D
2,Van,N
2,Buggenhoudt,N
2,),D
2,",",D
2,à,AD
2,Bruxelles,AD
2,.,D
2,—,D
2,Constitution,EV
2,.,D
2,END,END
3,START,START
3,2541,ID
3,.,D
3,Id,N
3,.,D
3,—,D
3,Changement,EV
3,de,EV
3,firme,EV
3,.,D
3,END,END
4,START,START
4,2129,ID
4,.,D
4,Favresse,N
4,et,N
4,Cie,N
4,(,D
4,Veuve,N
4,Sylvain,N
4,),D
4,",",D
4,à,AD
4,Bruxelles,AD
4,.,D
4,—,D
4,Constitution,EV
4,.,D
4,END,END
5,START,START
5,1769,ID
5,.,D
5,Favresse,N
5,frères,N
5,",",D
5,à,AD
5,Bruxelles,AD
5,.,D
5,—,D
5,Modifications,EV
5,.,D
5,END,END
6,START,START
6,2128,ID
6,.,D
6,Favresse,N
6,frères,N
6,et,N
6,Cie,N
6,",",D
6,à,AD
6,Bruxelles,AD
6,.,D
6,—,D
6,Dissolution,EV
6,.,D
6,END,END
7,START,START
7,2317,ID
7,.,D
7,Fowler,N
7,et,N
7,Ledure,N
7,",",D
7,à,AD
7,Anvers,AD
7,.,D
7,—,D
7,Constitution,EV
7,.,D
7,END,END
8,START,START
8,2188,ID
8,.,D
8,Franck,N
8,frères,N
8,et,N
8,sœurs,N
8,",",D
8,à,AD
8,Verviers,AD
8,.,D
8,—,D
8,Dissolution,EV
8,.,D
8,END,END
9,START,START
9,1907,ID
9,.,D
9,Frank,N
9,-,D
9,Model,N
9,et,N
9,Cie,N
9,",",D
9,à,AD
9,Luxembourg,AD
9,.,D
9,—,D
9,Convention,EV
9,.,D
9,END,END
10,START,START
10,1808,ID
10,.,D
10,Fréson,N
10,-,D
10,Dubois,N
10,-,D
10,Debras,N
10,et,N
10,Cie,N
10,",",D
10,à,AD
10,Sauvenière,AD
10,.,D
10,—,D
10,Donation,EV
10,d'actions,EV
10,.,D
10,END,END
11,START,START
11,2005,ID
11,.,D
11,Fys,N
11,en,N
11,Van,N
11,Damme,N
11,",",D
11,te,AD
11,Ledeberg,AD
11,.,D
11,—,D
11,Stichting,EV
11,.,D
11,END,END
12,START,START
12,2364,ID
12,.,D
12,Gallez,N
12,et,N
12,Cie,N
12,",",D
12,à,AD
12,Dour,AD
12,.,D
12,—,D
12,Constitution,EV
12,.,D
12,END,END
13,START,START
13,2565,ID
13,.,D
13,Id,N
13,.,D
13,—,D
13,Assemblée,EV
13,générale,EV
13,du,EV
13,24,EV
13,septembre,EV
13,1892,EV
13,.,D
13,END,END
14,START,START
14,2834,ID
14,.,D
14,Garot,N
14,et,N
14,Conreur,N
14,",",D
14,à,AD
14,Couillet,AD
14,.,D
14,—,D
14,Constitution,EV
14,.,D
14,END,END
15,START,START
15,2524,ID
15,.,D
15,Gérard,N
15,et,N
15,Cie,N
15,",",D
15,à,AD
15,Racour,AD
15,.,D
15,—,D
15,Modifications,EV
15,END,END
16,START,START
16,2705,ID
16,.,D
16,Gérard,N
16,frères,N
16,",",D
16,à,AD
16,Bruxelles,AD
16,.,D
16,—,D
16,Constitution,EV
16,.,D
16,END,END
17,START,START
17,2965,ID
17,.,D
17,Gielis,N
17,et,N
17,Cie,N
17,",",D
17,à,AD
17,Anvers,AD
17,.,D
17,—,D
17,Constitution,EV
17,.,D
17,END,END
18,START,START
18,1889,ID
18,.,D
18,Glibert,N
18,frères,N
18,et,N
18,Cie,N
18,",",D
18,à,AD
18,Bruxelles,AD
18,.,D
18,—,D
18,Clôture,EV
18,de,EV
18,liquidation,EV
18,.,D
18,END,END
19,START,START
19,2103,ID
19,.,D
19,Godin,N
19,et,N
19,Drèze,N
19,",",D
19,à,AD
19,Verviers,AD
19,.,D
19,—,D
19,Dissolution,EV
19,.,D
19,END,END
20,START,START
20,2452,ID
20,.,D
20,Goethals,N
20,et,N
20,Roegiers,N
20,",",D
20,à,AD
20,Eecloo,AD
20,.,D
20,—,D
20,Dissolution,EV
20,.,D
20,END,END
21,START,START
21,1866,ID
21,.,D
21,Gohy,N
21,et,N
21,Dossin,N
21,",",D
21,à,AD
21,Verviers,AD
21,.,D
21,—,D
21,Constitution,EV
21,.,D
21,END,END
22,START,START
22,2840,ID
22,.,D
22,Goormachtig,N
22,en,N
22,Cie,N
22,",",D
22,te,AD
22,Gent,AD
22,.,D
22,—,D
22,Stichting,EV
22,.,D
22,END,END
23,START,START
23,2120,ID
23,.,D
23,Goovaerts,N
23,et,N
23,Leytens,N
23,",",D
23,à,AD
23,Anvers,AD
23,.,D
23,—,D
23,Constitution,EV
23,.,D
23,END,END
24,START,START
24,2613,ID
24,.,D
24,Id,N
24,.,D
24,—,D
24,Dissolution,EV
24,.,D
24,END,END
25,START,START
25,1983,ID
25,.,D
25,Gouweloos,N
25,frère,N
25,et,N
25,sœur,N
25,et,N
25,Cie,N
25,",",D
25,à,AD
25,Anderlecht,AD
25,.,D
25,—,D
25,Constitution,EV
25,.,D
25,END,END
26,START,START
26,2404,ID
26,.,D
26,Govaerts,N
26,en,N
26,Cie,N
26,",",D
26,te,AD
26,Antwerpen,AD
26,.,D
26,—,D
26,Ontbinding,EV
26,.,D
26,END,END
27,START,START
27,2405,ID
27,.,D
27,Govaerts,N
27,en,N
27,Cie,N
27,(,D
27,opvolgers,EV
27,van,EV
27,J,EV
27,.,D
27,Govaerts,N
27,en,N
27,Cie,N
27,),D
27,",",D
27,te,AD
27,Antwerpen,AD
27,.,D
27,—,D
27,Stichting,EV
27,.,D
27,END,END
28,START,START
28,2387,ID
28,.,D
28,Govaerts,N
28,frères,N
28,",",D
28,à,AD
28,Liège,AD
28,.,D
28,—,D
28,Dissolution,EV
28,.,D
28,END,END
29,START,START
29,2122,ID
29,.,D
29,Graddon,N
