id,value,key
2,START,START
2,2513,ID
2,.,D
2,Tramways,N
2,de,N
2,Nice,N
2,(,D
2,Société,N
2,nouvelle,N
2,des,N
2,),D
2,",",D
2,à,AD
2,Bruxelles,AD
2,.,D
2,—,D
2,Bilan,EV
2,et,EV
2,compte,EV
2,de,EV
2,profits,EV
2,et,EV
2,pertes,EV
2,au,EV
2,31,EV
2,août,EV
2,1888,EV
2,.,D
2,END,END
3,START,START
3,778,ID
3,.,D
3,Tramways,N
3,de,N
3,Prague,N
3,",",D
3,à,AD
3,Bruxelles,AD
3,.,D
3,—,D
3,Bilan,EV
3,et,EV
3,compte,EV
3,de,EV
3,profits,EV
3,et,EV
3,pertes,EV
3,au,EV
3,31,EV
3,décembre,EV
3,1887,EV
3,.,D
3,END,END
4,START,START
4,1713,ID
4,.,D
4,Tramways,N
4,de,N
4,Prague,N
4,",",D
4,à,AD
4,Bruxelles,AD
4,.,D
4,—,D
4,Assemblée,EV
4,générale,EV
4,du,EV
4,31,EV
4,juillet,EV
4,1888,EV
4,.,D
4,END,END
5,START,START
5,2317,ID
5,.,D
5,Tramways,N
5,de,N
5,Prague,N
5,",",D
5,à,AD
5,Bruxelles,AD
5,.,D
5,—,D
5,Assemblée,EV
5,générale,EV
5,du,EV
5,3,EV
5,novembre,EV
5,1888,EV
5,.,D
5,END,END
6,START,START
6,2318,ID
6,.,D
6,Tramways,N
6,de,N
6,Prague,N
6,",",D
6,à,AD
6,Bruxelles,AD
6,.,D
6,—,D
6,Augmentation,EV
6,du,EV
6,capital,EV
6,social,EV
6,.,D
6,END,END
7,START,START
7,943,ID
7,.,D
7,Tramways,N
7,de,N
7,Reims,N
7,(,D
7,Compagnie,N
7,des,N
7,),D
7,",",D
7,à,AD
7,Bruxelles,AD
7,.,D
7,—,D
7,Bilan,EV
7,et,EV
7,compte,EV
7,de,EV
7,profits,EV
7,et,EV
7,pertes,EV
7,au,EV
7,31,EV
7,décembre,EV
7,1887,EV
7,.,D
7,END,END
8,START,START
8,4125,ID
8,.,D
8,Tramways,N
8,des,N
8,Romagnes,N
8,",",D
8,à,AD
8,Tilleur,AD
8,lez,AD
8,-,D
8,Liège,AD
8,.,D
8,—,D
8,Bilan,EV
8,et,EV
8,compte,EV
8,de,EV
8,profits,EV
8,et,EV
8,pertes,EV
8,au,EV
8,31,EV
8,décembre,EV
8,1887,EV
8,.,D
8,END,END
9,START,START
9,1126,ID
9,.,D
9,Tramways,N
9,des,N
9,Romagnes,N
9,",",D
9,à,AD
9,Tilleur,AD
9,lèz,AD
9,-,D
9,Liège,AD
9,.,D
9,—,D
9,Assemblée,EV
9,géné,EV
9,-,D
9,rale,EV
9,du,EV
9,16,EV
9,avril,EV
9,1888,EV
9,.,D
9,END,END
10,START,START
10,577,ID
10,.,D
10,Tramways,N
10,de,N
10,Rostoff,N
10,-,D
10,sur,N
10,-,D
10,le,N
10,-,D
10,Don,N
10,",",D
10,à,AD
10,Bruxelles,EV
10,.,D
10,—,D
10,Assemblée,EV
10,générale,EV
10,du,EV
10,24,EV
10,janvier,EV
10,1888,EV
10,.,D
10,END,END
11,START,START
11,1040,ID
11,.,D
11,amways,N
11,de,N
11,Rostoff,N
11,-,D
11,sur,N
11,-,D
11,le,N
11,-,D
11,Don,N
11,",",D
11,à,AD
11,Bruxelles,EV
11,.,D
11,—,D
11,Assemblée,EV
11,géné,EV
11,-,D
11,rale,EV
11,du,EV
11,31,EV
11,décembre,EV
11,1887,EV
11,.,D
11,END,END
12,START,START
12,1829,ID
12,.,D
12,Tramways,N
12,de,N
12,Rostoff,N
12,-,D
12,sur,N
12,-,D
12,le,N
12,-,D
