id;value;key
1;START; 
1;Briquettes;
1;de;
1;Houille;
1;du;
1;Nord;
1;anciens;
1;établissements;
1;Albert;
1;Dehaynin;
1;et;
1;C°;
1;à;
1;Marchienne-au-Pont.-;
1;Réduction;
1;du;
1;capital.-;
1;Modification;
1;aux;
1;statuts.-;
1;S.;
1;an.;
1;426.;
1;END;
2;START;
2;Brochard;
2;et;
2;Co;
2;à;
2;Verviers.-;
2;Procuration;
2;432.;
2;END;
3;START;
3;Bros;
3;et;
3;C°;
3;(Jacobs);
3;à;
3;Anvers.-;
3;Procuration.-;
3;S.;
3;c.;
3;1336.;
3;END;
4;START;
4;Brouckaers;
4;frères;
4;et;
4;Co;
4;à;
4;Gand.-;
4;Dissolution.-;
4;Clôture;
4;de;
4;la;
4;liquidation.-;
4;S.;
4;c.;
4;194.;
4;END;
5;START;
5;Brouwerij;
5;de;
5;Toekomst;
5;te;
5;Rousselare.-;
5;Stichting.-;
5;S.;
5;coop.;
5;760.;
5;END;
6;START;
6;Brouwerij;
6;Sint-Antonius;
6;te;
6;Hosselt.-;
6;Standregelen.-;
6;S.;
6;coop.;
6;598.;
6;END;
7;START;
7;Brugeoise!;
7;(La);
7;Usines;
7;métallurgiques;
7;à;
7;Bruges.-;
7;Statuts.-;
7;S.;
7;an.;
7;63.;
7;END;
8;START;
8;Id.-;
8;Pouvoirs.-;
8;S.;
8;an.;
8;625.;
8;END;
9;START;
9;Id.-;
9;Nomination;
9;d'administrateur.-;
9;S.;
9;an.;
9;776.;
9;END;
10;START;
10;Bruzeaux;
10;agent;
10;de;
10;Change;
10;(Jules);
10;à;
10;Bruxelles.-;
10;Prorogation.;
10;S.com.;
10;344.;
10;END;
11;START;
11;Bulcke;
11;(F.);
11;à;
11;Anvers.-;
11;Circulaire.-;
11;1007.;
11;END;
12;START;
12;Bulcke;
12;Van;
12;den;
12;Bemden;
12;et;
12;Co;
12;à;
12;Anvers.-;
12;Circulaire.;
12;END;
13;START;
13;Burgerswelzijn;
13;te;
13;Brugge.-;
13;Standregelen.-;
13;S.;
13;coop.;
13;889.;
13;END;
14;START;
14;Burgerwelzijn;
14;te;
14;Merxem.-;
14;Statuten.-;
14;S.;
14;coop.;
14;1104.;
14;END;
15;START;
15;Byröm;
15;et;
15;C°;
15;Filature;
15;de;
15;Laines;
15;peignées;
15;d'Ensival;
15;à;
15;Verviers.-;
15;Bilan;
15;et;
15;compté;
15;de;
15;profits;
15;et;
15;pertes;
15;âu;
15;31;
15;décembre;
15;1902.-;
15;S.;
15;c.;
15;a.;
15;736.;
15;END;
16;START;
16;Cabuy;
16;et;
16;Steyaert;
16;à;
16;Bruxelles.-;
16;Modification.-;
16;S.;
16;c.;
16;1213.;
16;END;
17;START;
17;Caisse;
17;commerciale;
17;de;
17;Bruxelles;
17;à;
17;Bruxelles.-;
17;Clôture;
17;de;
17;liquidation.;
17;S.;
17;an.;
17;162.;
17;END;
18;START;
18;Caisse;
18;de;
18;l'Industrie;
18;et;
18;du;
18;Commerce;
18;de;
18;l'arrondissement;
18;de;
18;Tournai;
18;J.;
18;Houtart;
18;et;
18;Co;
18;à;
18;Tournai.-;
18;Procuration.-;
18;S.;
18;c.;
18;a.;
18;1212.;
18;END;
19;START;
19;Caisse;
19;de;
19;Liquidation;
19;des;
19;Affaires;
19;en;
19;Marchandises;
19;à;
19;Anvers.-;
19;Circulaires.-;
19;S.;
19;an.;
19;182.;
19;END;
20;START;
20;Caisse;
20;financière;
20;et;
20;commerciale;
20;à;
20;Bruxelles.-;
20;Démission;
20;et;
20;nomination;
20;d'administrateur.-;
20;S.;
20;an.;
20;442.;
20;END;
21;START;
21;Caisse;
21;générale;
21;de;
21;Report;
21;et;
21;de;
21;Dépots;
21;à;
21;Bruxelles.-;
21;Signature;
21;sociale.;
21;END;
22;START;
22;Mines;
22;et;
22;Usines;
22;de;
22;Tijola;
22;(province;
22;d'Almerie;
22;Espagne);
22;à;
22;Anvers)-;
22;Clôture;
22;de;
22;la;
22;liquidation.-;
22;S.;
22;an.;
22;4464.;
22;END;
23;START;
23;Minière;
23;du;
23;Champ;
23;d'Oiseaux;
23;à;
23;Sclaigneaux;
23;(Seilles).-;
23;Clôture;
23;de;
23;liquidation.-;
23;S.;
23;ân.;
23;4184.;
23;END;
24;START;
24;Minière;
24;et;
24;industrielle;
24;de;
24;Routchenko;
24;à;
24;Bruxelles.-;
24;Augmentation;
24;du;
24;capital.-;
24;Modifications;
24;aux;
24;statuts.-;
24;S.;
24;an.;
24;3698.;
24;END;
25;START;
25;Minières;
25;belges;
25;à;
25;Bruxelles.-;
25;Dissolution.-;
25;S.;
25;an.;
25;4354.;
25;END;
26;START;
26;Minière;
26;de;
26;Langführ;
26;à;
26;Bruxelles.-;
26;Statuts.;
26;→;
26;S.;
26;an.;
26;3668.;
26;END;
27;START;
27;Minières;
27;de;
27;la;
27;Meuse;
27;à;
27;Sclaigneaux.-;
27;Rectification;
27;à;
27;l'acte;
27;n°;
27;3222.-;
27;S.;
27;an.;
27;3842bis.;
27;END;
28;START;
28;Minières;
28;et;
28;Carrières;
28;(Compagnie;
28;Internationale;
28;de);
28;à;
28;Bruxelles.-;
28;Clôture;
28;de;
28;la;
28;liquidation.-;
28;S.;
28;an.;
28;4629.;
28;END;
29;START;
29;Moens;
29;et;
29;De;
29;Forciàu;
29;(F.;
29;et;
29;Th.);
29;à;
29;Bruxelles.-;
29;Constitution.-;
29;S.;
29;c.;
29;5827.;
29;END;
30;START;
30;Moens-Vermeire;
30;à;
30;Hamme.-;
30;Constitution.-;
30;S.;
30;c.;
30;5857.;
30;END;
31;START;
31;Montagnards;
31;(Aux);
31;à;
31;Bruxelles.-;
31;Dissolution.-;
31;S.;
31;an.;
31;3974.;
31;END;
32;START;
32;Montagnards;
32;réunis;
32;(Les);
32;aux;
32;Foreges;
32;(Huy).-;
32;Prorogation.;
32;S.;
32;coop.;
32;3673.;
32;END;
33;START;
33;Moorrees;
33;et;
33;C°;
33;Papeteries;
33;anversoises;
33;à;
33;Anvers.-;
33;Nomination;
33;de;
33;commissaires.-;
33;S.;
33;c.;
33;a.;
33;3751.;
33;END;
34;START;
34;Mortier-Soiron;
34;Ressemelage;
34;parisien;
34;en;
34;Trente;
34;Minutes;
34;à;
34;Bruxelles.;
34;Constitution.-;
34;S.;
34;c.;
34;3735.;
34;END;
35;START;
35;Moselhütte;
35;Aktiengesellschaft;
35;(Hauts;
35;Fourneaux;
35;de;
35;la;
35;Moselle;
35;à;
35;Maizières;
35;près;
35;Metz;
35;(Lorraine).-;
35;Constitution.-;
35;S.;
35;an.;
35;4260.;
35;END;
36;START;
36;Id.-;
36;Election;
36;du;
36;conseil;
36;de;
36;surveillance;
36;et;
36;de;
36;la;
36;direction.-;
36;S.;
36;an.;
36;4261.;
36;END;
37;START;
37;Sint-Isidorius';
37;Melkerij;
37;van;
37;Galmaerden;
37;te;
37;Galmaerden.-;
37;Standregelen.;
37;S.;
37;coop.;
37;5416.;
37;END;
38;START;
38;Smalle;
38;(Gebroeders);
38;te;
38;Iseghem.-;
38;Stichting.-;
38;S.;
38;c.;
38;5465.;
38;END;
39;START;
39;Smets;
39;&;
39;Co;
39;te;
39;Antwerpen.-;
39;Ontbinding.-;
39;S.;
39;c.;
39;5684.;
39;END;
40;START;
40;Snutsel;
40;et;
40;Goolaerts;
40;à;
40;Bruxelles.-;
40;Dissolution.-;
40;S.;
40;c.;
40;4660.;
40;END;
41;START;
41;Soemer;
41;et;
41;Co;
41;(Benoît);
41;à;
41;Saint-Gilles;
41;lez-Bruxelles.-;
41;Constitution.-;
41;S.;
41;com.;
41;4760.;
41;END;
42;START;
42;Sola;
42;Oil;
42;and;
42;Varnish;
42;Company;
42;Limited;
42;T'Scharner;
42;&;
42;Co;
42;à;
42;Bruxelles.-;
42;Constitution.-;
42;S.;
42;com.;
42;5821.;
42;END;
43;START;
43;Sola;
43;Varnish;
43;Company;
43;Limited;
43;T'Scharner;
43;&;
43;Co;
43;à;
43;Bruxelles.-;
43;Dissolution.-;
43;S.;
43;com.;
43;5820.;
43;END;
44;START;
44;Spaar-;
44;en;
44;Leengilde;
44;van;
44;Cumptich;
44;te;
44;Cumptich.-;
44;Standregelen.-;
44;S.;
44;coop.;
44;6087.;
44;END;
45;START;
45;Spaarzegels;
45;à;
45;Anvers.-;
45;Constitution.-;
45;S.;
45;an.;
45;5670.;
45;END;
46;START;
46;Id.-;
46;Nomination;
46;des;
46;administrateurs.-;
46;S.;
46;an.;
46;5671.;
46;END;
47;START;
47;Stalle;
47;pour;
47;le;
47;Blanchiment;
47;et;
47;l'Impression;
47;des;
47;Tissus;
47;à;
47;Bruxelles.-;
47;Bilan;
47;au;
47;31;
47;juillet;
47;1903.-;
47;S.;
47;an.;
47;5114.;
47;END;
48;START;
48;Id.-;
48;Compte;
48;de;
