id;value;key
1;START;START
1;Briquettes;N
1;de;N
1;Houille;N
1;du;N
1;Nord;N
1;anciens;N
1;établissements;N
1;Albert;N
1;Dehaynin;N
1;et;N
1;C°;N
1;à;AD
1;Marchienne-au-Pont.-;AD
1;Réduction;EV
1;du;EV
1;capital.-;EV
1;Modification;EV
1;aux;EV
1;statuts.-;EV
1;S.;TY
1;426.;ID
1;END;END
2;START;START
2;Brochard;NA
2;et;NA
2;Co;NA
2;à;AD
2;Verviers.-;AD
2;Procuration;EV
2;432.;ID
2;END;END
3;START;START
3;Bros;N
3;et;N
3;C°;N
3;(Jacobs);N
3;à;AD
3;Anvers.-;AD
3;Procuration.-;EV
3;S.;TY
3;c.;TY
3;1336.;ID
3;END;END
4;START;START
4;Brouckaers;N
4;frères;N
4;et;N
4;Co;N
4;à;N
4;Gand.-;A
4;Dissolution.-;EV
4;Clôture;EV
4;de;EV
4;la;EV
4;liquidation.-;EV
4;S.;TY
4;c.;TY
4;194.;ID
4;END;END
5;START;START
5;Brouwerij;N
5;de;N
5;Toekomst;N
5;te;AD
5;Rousselare.-;AD
5;Stichting.-;EV
5;S.;TY
5;coop.;TY
5;760.;ID
5;END;END
6;START;START
6;Brouwerij;N
6;Sint-Antonius;N
6;te;AD
6;Hosselt.-;AD
6;Standregelen.-;EV
6;S.;TY
6;coop.;TY
6;598.;ID
6;END;END
7;START;START
7;Brugeoise!;N
7;(La);N
7;Usines;N
7;métallurgiques;N
7;à;AD
7;Bruges.-;AD
7;Statuts.-;EV
7;S.;TY
7;an.;TY
7;63.;ID
7;END;END
8;START;START
8;Id.-;N
8;Pouvoirs.-;EV
8;S.;TY
8;an.;TY
8;625.;ID
8;END;END
9;START;START
9;Id.-;N
9;Nomination;EV
9;d'administrateur.-;EV
9;S.;TY
9;an.;TY
9;776.;ID
9;END;END
10;START;START
10;Bruzeaux;N
10;agent;N
10;de;N
10;Change;
10;(Jules);N
10;à;AD
10;Bruxelles.-;AD
10;Prorogation.;EV
10;S.com.;TY
10;344.;ID
10;END;END
11;START;START
11;Bulcke;
11;(F.);
11;à;
11;Anvers.-;
11;Circulaire.-;
11;1007.;
11;END;END
12;START;START
12;Bulcke;
12;Van;
12;den;
12;Bemden;
12;et;
12;Co;
12;à;
12;Anvers.-;
12;Circulaire.;
12;END;END
13;START;START
13;Burgerswelzijn;
13;te;
13;Brugge.-;
13;Standregelen.-;
13;S.;
13;coop.;
13;889.;
13;END;END
14;START;START
14;Burgerwelzijn;
14;te;
14;Merxem.-;
14;Statuten.-;
14;S.;
14;coop.;
14;1104.;
14;END;END
15;START;START
15;Byröm;
15;et;
15;C°;
15;Filature;
15;de;
15;Laines;
15;peignées;
15;d'Ensival;
15;à;
15;Verviers.-;
15;Bilan;
15;et;
15;compté;
15;de;
15;profits;
15;et;
15;pertes;
