id,value,key
1,START,START
1,Declerck,N
1,et,N
1,C°,N
1,(A.),N
1,(Continental),N
1,à,AD
1,Ostende.,AD
1,S.,TY
1,c.,TY
1,Prorogation,EV
1,1653.,ID
1,END,END
2,START,START
2,De,N
2,Cock,N
2,en,N
2,Bosseur,N
2,(L.),N
2,te,AD
2,Oostende.,AD
2,S.,TY
2,c.,TY
2,Stichting,EV
2,254.,ID
2,END,END
3,START,START
3,De,N
3,Coninck,N
3,et,N
3,Selb,N
3,à,AD
3,Anvers.,AD
3,Procuration,EV
3,748.,ID
3,END,END
4,START,START
4,De,N
4,Coster,N
4,et,N
4,De,N
4,Nobele,N
4,à,AD
4,Gand.,AD
4,S.,TY
4,c.,TY
4,Constitution,EV
4,411.,ID
4,END,END
5,START,START
5,De,N
5,Deene,N
5,De,N
5,Wolf,N
5,et,N
5,Van,N
5,der,N
5,Vennet,N
5,(Etablissement,N
5,horticole),N
5,te,AD
5,Evergem.,AD
5,S.,TY
5,c.Stichting,EV
5,1362.,ID
5,END,END
6,START,START
6,De,N
6,Dobbeleer,N
6,(Gebroeders),N
6,te,AD
6,Ninove.,AD
6,S.,TY
6,c.,TY
6,Stichting,EV
6,283.,ID
6,END,END
7,START,START
7,Defever,N
7,et,N
7,Snauwaert,N
7,à,AD
7,Ostende.,AD
7,S.,TY
7,com.,TY
7,Liquidation,EV
7,et,EV
7,nomination,EV
7,de,EV
7,liquidateur,EV
7,112.,ID
7,END,END
8,START,START
8,Defraiteur,N
8,et,N
8,Julien,N
8,à,AD
8,Verviers.,AD
8,S.,TY
8,com.,TY
8,END,END
9,START,START
9,Dissolution,EV
9,et,EV
9,nomination,EV
9,de,EV
9,liquidateur,EV
9,6.,ID
9,END,END
10,START,START
10,Degardin,N
10,frères,N
10,à,AD
10,Bruxelles.,AD
10,S.,TY
10,c.,TY
10,Constitution,EV
10,1406.,ID
10,END,END
11,START,START
11,Déglycération,N
11,(Société,N
11,générale,N
11,belge,N
11,de),N
11,à,AD
11,Bruxelles,AD
11,S.an.,TY
11,Bilan,EV
11,et,EV
11,compte,EV
11,de,EV
11,profits,EV
11,et,EV
11,pertes,EV
11,au,EV
11,31,EV
11,octobre,EV
11,1911,EV
11,599.,ID
11,Liste,EV
11,des,EV
11,actionnaires,EV
11,au,EV
11,31,EV
11,octobre,EV
11,1911,EV
11,600.,ID
11,END,END
12,START,START
12,De,N
12,Grom,N
12,et,N
12,C°,N
12,(F.),N
12,Banque,N
12,d'Escompte,N
12,et,N
12,de,N
12,Change,N
12,à,AD
12,Louvain,AD
12,S.,TY
12,c.,TY
12,Retraite,EV
12,d'un,EV
12,associé,EV
12,et,EV
12,modifications,EV
12,aux,EV
12,statuts,EV
12,103.,ID
12,END,END
13,START,START
13,De,N
13,Herdt,N
13,sœurs,N
13,à,AD
13,Anvers.,AD
13,S.,TY
13,c.,TY
13,Constitution,EV
13,1488.,ID
13,END,END
14,START,START
14,De,N
14,Keyser,N
14,frères,N
14,à,AD
14,Liége.,AD
14,S.,TY
14,c.,TY
14,Constitution,EV
14,1510.,ID
14,END,END
15,START,START
15,Dénis,N
15,et,N
15,C°,N
15,(Léon),N
15,à,AD
15,Anvers.,AD
15,S.,TY
15,com.,TY
15,Procuration,EV
15,1960.,ID
15,END,END
16,START,START
16,Dentaire,N
16,belge,N
16,à,AD
16,Bruxelles.,AD
16,S.,TY
16,coop.,TY
16,Nouveaux,EV
16,statuts,EV
16,1567.,ID
16,END,END
17,START,START
17,Dentelles,N
17,(Société,N
17,anglo-belge,N
17,pour,N
17,la,N
17,Fabrication,N
17,de),N
17,à,AD
17,Anvers.,AD
17,S.,TY
17,an.,TY
17,Démission,EV
17,d'administrateur,EV
17,995.,ID
17,END,END
18,START,START
18,Depaifve,N
18,et,N
18,Olivier,N
18,(Electric),N
18,à,AD
18,Bruxelles.,AD
18,S.,TY
18,c.,TY
18,Constitution,EV
18,645.,ID
18,END,END
19,START,START
19,Deynsche,N
19,Brouwerij,N
19,à,AD
19,Deynze,AD
19,S.,TY
19,an.,TY
19,Bilan,EV
19,au,EV
19,1er,EV
19,janvier,EV
19,1912,EV
19,1645.,ID
19,END,END
20,START,START
20,D'Haenens,N
20,en,N
20,žuster,N
20,(Gustáaf),N
20,te,AD
20,Melle,AD
20,S.,TY
20,c.,TY
20,Stichting,EV
20,1363.,ID
20,END,END
21,START,START
21,Gehilde,N
21,et,N
21,C°,N
21,(Edouard),N
21,à,AD
21,Wiers-Callenelle.,AD
21,S.,TY
21,com.,TY
21,Nomination,EV
21,de,EV
21,l'administrateur-gérant,EV
21,et,EV
21,d'un,EV
21,commandité,EV
21,1008.,ID
21,END,END
22,START,START
22,Gemeinnützige,N
22,Anstalten,N
22,für,N
22,Weibliche,N
22,Personen,N
22,(Etablissements,N
22,d'Utilité,N
22,publique,N
22,pour,N
22,Personnes,N
22,du,N
22,Sexe,N
22,féminin),N
22,à,AD
22,Aix-la-Chapelle.-,AD
22,Constatation,EV
22,de,EV
22,dissolution.-,EV
22,Nomination,EV
22,de,EV
22,liquidateurs-,EV
22,Bilan,EV
22,et,EV
22,compte,EV
22,de,EV
22,profits,EV
22,et,EV
22,pertes,EV
22,au,EV
22,31,EV
22,décembre,EV
22,1910,EV
22,543.,ID
22,END,END
23,START,START
23,Génard,N
23,(Alfres),N
23,à,AD
23,Seraing.,AD
23,Š.,TY
23,com.,TY
23,Dissolution,EV
23,1901.,ID
23,END,END
24,START,START
24,General,N
24,argentur,N
24,à,AD
24,Anvers.,AD
24,S.,TY
24,c.,TY
24,Constitution,EV
24,31.,ID
24,END,END
25,START,START
25,Générale,N
25,belge-argentine,N
25,à,AD
25,Anvers.,AD
25,S.,TY
25,an.,TY
25,Nomination,EV
25,d'administrateur,EV
25,373.,ID
25,END,END
26,START,START
26,Générale,N
26,coloniale,N
26,(La),N
26,à,AD
26,Bruxelles.,AD
26,S.,TY
26,an.,TY
26,Statuts,EV
26,1064.,ID
26,END,END
27,START,START
27,Générale,N
27,de,N
27,Belgique,N
27,(Société),N
27,à,AD
27,Bruxelles.,AD
27,S.,TY
27,an.,TY
27,Bilan,EV
27,et,EV
27,compte,EV
27,de,EV
27,profits,EV
27,et,EV
27,pertes,EV
27,au,EV
27,31,EV
27,décembre,EV
27,1911,EV
27,1409.,ID
27,END,END
28,START,START
28,Générale,N
28,foncière,N
28,à,AD
28,Bruxelles.,AD
28,S.,TY
28,an,TY
28,Nomination,EV
28,d'un,EV
28,administrateur,EV
28,1667.,ID
28,Nomination,EV
28,d'un,EV
28,membre,EV
28,du,EV
28,comité,EV
28,de,EV
28,direction,EV
28,1668.,ID
28,END,END
29,START,START
29,Gentsche,N
29,maatschappij,N
29,der,N
29,Werkerswoningen,N
29,te,AD
29,Gent.,AD
29,S.,TY
29,an.,TY
29,Balans,EV
29,en,EV
29,rekening,EV
29,winst,EV
29,en,EV
29,verlies,EV
29,op,EV
29,31,EV
29,December,EV
29,1911,EV
29,2035.,ID
29,END,END
30,START,START
30,Gérard,N
30,et,N
30,C°,N
30,à,AD
30,Bruxelles,AD
30,S.,TY
30,c.,TY
30,Constitución,EV
30,1015.,ID
30,END,END
31,START,START
31,Gérard,N
31,et,N
31,C°,N
31,(G.),N
31,à,AD
31,Liége.,AD
31,S.,TY
31,com.,TY
31,Cession,EV
31,de,EV
31,part,EV
31,1025.,ID
31,END,END
32,START,START
32,Gérard,N
32,et,N
32,C°,N
32,Tannerie,N
32,de,N
32,Saint-Antoine,N
32,à,AD
32,Soignies.,AD
32,S.,TY
32,com.,TY
32,Modifications,EV
32,aux,EV
32,statuts,EV
32,1109.,ID
32,END,END
33,START,START
33,Gérance,N
33,et,N
33,de,N
33,Placements,N
33,financiers,N
33,(Société,N
33,de),N
33,à,AD
33,Anvers.,AD
33,S.,TY
33,an.,TY
33,Statuts,EV
33,1302.,ID
33,END,END
34,START,START
34,Germay,N
34,et,N
34,Naury,N
34,(A.,N
34,et,N
34,F.),N
34,à,AD
34,Bruxelles.,AD
34,S.,TY
34,c.,TY
34,Constitution,EV
34,502.,ID
34,END,END
35,START,START
35,Gersdorff,N
35,(A.),N
35,à,AD
35,Anvers.,AD
35,Retrait,EV
35,de,EV
35,procuration,EV
35,880.,ID
35,END,END
36,START,START
36,Gevers,N
36,et,N
36,fils,N
36,(Veuve,N
36,Eugène),N
36,à,AD
36,Anvers.,AD
36,S.,TY
36,com.,TY
36,Prorogation,EV
36,203.,ID
36,END,END
37,START,START
37,Leipziger,N
37,Wollkammerei,N
37,à,AD
37,Leipzig,AD
37,ayant,AD
37,une,AD
37,succursale,AD
37,à,AD
37,Hoboken,AD
37,lez-Anvers.,AD
37,S.,TY
37,an.,TY
37,Rectifications,EV
37,804.,ID
37,END,END
38,START,START
38,Lelièvre,N
38,et,N
38,Halén,N
38,(Emile,N
38,et,N
38,Henry),N
38,à,AD
38,Anvers.,AD
38,S.,TY
38,c.,TY
38,Constitution,EV
38,1097.,ID
38,END,END
39,START,START
39,Lemoine,N
39,(M.),N
39,à,AD
39,Bruxelles.,AD
39,S.,TY
39,com.,TY
39,Constitución,EV
39,1508.,ID
39,Procuration,EV
39,1509.,ID
39,END,END
40,START,START
40,Lenoir,N
40,et,N
40,Stembert,N
40,(L.,N
40,et,N
40,A.),N
40,à,AD
40,Liége.,AD
40,S.,TY
40,c.,TY
40,Dissolution,EV
40,336.,ID
40,END,END
41,START,START
41,Léonard,N
41,et,N
41,sœur,N
41,(Victor),N
41,à,AD
41,Waremme.,AD
41,S.,TY
41,e.,TY
41,Constitution,EV
41,249.,ID
41,END,END
