id,value,key
1,START,START
1,de,
1,l'acte,
1,.,D
1,END,END
2,START,START
2,1840,
2,.,D
2,Farenbach,
2,et,
2,Kessels,
2,(,D
2,successeurs,
2,de,
2,E,
2,.,D
2,Van,
2,Buggenhoudt,
2,),D
2,",",D
2,à,
2,Bruxelles,
2,.,D
2,—,D
2,Constitution,
2,.,D
2,END,END
3,START,START
3,2541,
3,.,D
3,Id,
3,.,D
3,—,D
3,Changement,
3,de,
3,firme,
3,.,D
3,END,END
4,START,START
4,2129,
4,.,D
4,Favresse,
4,et,
4,Cie,
4,(,D
4,Veuve,
4,Sylvain,
4,),D
4,",",D
4,à,
4,Bruxelles,
4,.,D
4,—,D
4,Constitution,
4,.,D
4,END,END
5,START,START
5,1769,
5,.,D
5,Favresse,
5,frères,
5,",",D
5,à,
5,Bruxelles,
5,.,D
5,—,D
5,Modifications,
5,.,D
5,END,END
6,START,START
6,2128,
6,.,D
6,Favresse,
6,frères,
6,et,
6,Cie,
6,",",D
6,à,
6,Bruxelles,
6,.,D
6,—,D
6,Dissolution,
6,.,D
6,END,END
7,START,START
7,2317,
7,.,D
7,Fowler,
7,et,
7,Ledure,
7,",",D
7,à,
7,Anvers,
7,.,D
7,—,D
7,Constitution,
7,.,D
7,END,END
8,START,START
8,2188,
8,.,D
8,Franck,
8,frères,
8,et,
8,sœurs,
8,",",D
8,à,
8,Verviers,
8,.,D
8,—,D
8,Dissolution,
8,.,D
8,END,END
9,START,START
9,1907,
9,.,D
9,Frank,
9,-,D
9,Model,
9,et,
9,Cie,
9,",",D
9,à,
9,Luxembourg,
9,.,D
9,—,D
9,Convention,
9,.,D
9,END,END
10,START,START
10,1808,
10,.,D
10,Fréson,
10,-,D
10,Dubois,
10,-,D
10,Debras,
10,et,
10,Cie,
10,",",D
10,à,
10,Sauvenière,
10,.,D
10,—,D
10,Donation,
10,d'actions,
10,.,D
10,END,END
11,START,START
11,2005,
11,.,D
11,Fys,
11,en,
11,Van,
11,Damme,
11,",",D
11,te,
11,Ledeberg,
11,.,D
11,—,D
11,Stichting,
11,.,D
11,END,END
12,START,START
12,2364,
12,.,D
12,Gallez,
12,et,
12,Cie,
12,",",D
12,à,
12,Dour,
12,.,D
12,—,D
12,Constitution,
12,.,D
12,END,END
13,START,START
13,2365,
13,.,D
13,Id,
13,.,D
13,—,D
13,Assemblée,
13,générale,
13,du,
13,24,
13,septembre,
13,1892,
13,.,D
13,END,END
14,START,START
14,2834,
14,.,D
14,Garot,
14,et,
14,Conreur,
14,",",D
14,à,
14,Couillet,
14,.,D
14,—,D
14,Constitution,
14,.,D
14,END,END
15,START,START
15,2524,
15,.,D
15,Gérard,
15,et,
15,Cie,
15,",",D
15,à,
15,Racour,
15,.,D
15,—,D
15,Modifications,
15,END,END
16,START,START
16,2705,
16,.,D
16,Gérard,
16,frères,
16,",",D
16,à,
16,Bruxelles,
16,.,D
16,—,D
16,Constitution,
16,.,D
16,END,END
17,START,START
17,2965,
17,.,D
17,Gielis,
17,et,
17,Cie,
17,",",D
17,à,
17,Anvers,
17,.,D
17,—,D
17,Constitution,
17,.,D
17,END,END
18,START,START
18,1889,
18,.,D
18,Glibert,
18,frères,
18,et,
18,Cie,
18,",",D
18,à,
18,Bruxelles,
18,.,D
18,—,D
18,Clôture,
18,de,
18,liquidation,
18,.,D
18,END,END
19,START,START
19,2103,
19,.,D
19,Godin,
19,et,
19,Drèze,
19,",",D
19,à,
19,Verviers,
19,.,D
19,—,D
19,Dissolution,
19,.,D
19,END,END
20,START,START
20,2452,
20,.,D
20,Goethals,
20,et,
20,Roegiers,
20,",",D
20,à,
20,Eecloo,
20,.,D
20,—,D
20,Dissolution,
20,.,D
20,END,END
21,START,START
21,1866,
21,.,D
21,Gohy,
21,et,
21,Dossin,
21,",",D
21,à,
21,Verviers,
21,.,D
21,—,D
21,Constitution,
21,.,D
21,END,END
22,START,START
22,2840,
22,.,D
22,Goormachtig,
22,en,
22,Cie,
22,",",D
22,te,
22,Gent,
22,.,D
22,—,D
22,Stichting,
22,.,D
22,END,END
23,START,START
23,2120,
23,.,D
23,Goovaerts,
23,et,
23,Leytens,
23,",",D
23,à,
23,Anvers,
23,.,D
23,—,D
23,Constitution,
23,.,D
23,END,END
24,START,START
24,2613,
24,.,D
24,Id,
24,.,D
24,—,D
24,Dissolution,
24,.,D
24,END,END
25,START,START
25,1983,
25,.,D
25,Gouweloos,
25,frère,
25,et,
25,sœur,
25,et,
25,Cie,
25,",",D
25,à,
25,Anderlecht,
25,.,D
25,—,D
25,Constitution,
25,.,D
25,END,END
26,START,START
26,2404,
26,.,D
26,Govaerts,
26,en,
26,Cie,
26,",",D
26,te,
26,Antwerpen,
26,.,D
26,—,D
26,Ontbinding,
26,.,D
26,END,END
27,START,START
27,2405,
27,.,D
27,Govaerts,
27,en,
27,Cie,
27,(,D
27,opvolgers,
27,van,
27,J,
27,.,D
27,Govaerts,
27,en,
27,Cie,
27,),D
27,",",D
27,te,
27,Antwerpen,
27,.,D
27,—,D
27,Stichting,
27,.,D
27,END,END
28,START,START
28,2387,
28,.,D
28,Govaerts,
28,frères,
28,",",D
28,à,
28,Liège,
28,.,D
28,—,D
28,Dissolution,
28,.,D
28,END,END
29,START,START
29,2122,
29,.,D
29,Graddon,
29,et,
29,Cie,
29,",",D
29,à,
29,Anvers,
29,.,D
29,—,D
29,Constitution,
29,.,D
29,END,END
30,START,START
30,1785,
30,.,D
30,Grandjean,
30,",",D
30,à,
30,Ensival,
30,.,D
30,—,D
30,Adjonction,
30,d'associé,
30,.,D
30,END,END
31,START,START
31,2304,
31,.,D
31,Gray,
31,et,
31,Amand,
31,",",D
31,à,
31,J,
31,.,D
31,mappes,
31,.,D
31,—,D
31,Constitution,
31,.,D
31,END,END
32,START,START
32,1815,
32,Grewel,
32,frères,
32,",",D
32,à,
32,Auvers,
32,.,D
32,—,D
32,Constitution,
32,.,D
32,END,END
33,START,START
33,2794,
33,.,D
33,Grignard,
33,et,
33,Heller,
33,",",D
33,à,
33,Verviers,
33,.,D
33,—,D
33,Constitution,
33,.,D
33,END,END
34,START,START
34,2414,
34,.,D
34,Grimediuss,
34,et,
34,Cie,
34,(,D
34,Veuve,
34,Fréd,
34,.,D
34,),D
34,",",D
34,à,
34,la,
34,Croix,
34,-,D
34,Rouge,
34,(,D
34,Wegnez,
34,),D
34,.,D
34,—,D
34,Constitution,
34,.,D
34,END,END
35,START,START
35,2165,
35,.,D
35,Grisar,
35,",",D
35,Dernen,
35,et,
35,Cie,
35,",",D
35,à,
35,Bruxelles,
35,.,D
35,—,D
35,Procuration,
35,.,D
35,END,END
36,START,START
36,1852,
36,.,D
36,Haag,
36,et,
36,Tietjens,
36,",",D
36,à,
36,Bruxelles,
36,.,D
36,—,D
36,Constitution,
36,.,D
36,2019,
36,END,END
37,START,START
37,1767,
37,.,D
37,Hacken,
37,et,
37,Maréchal,
37,",",D
37,à,
37,Liège,
37,.,D
37,—,D
37,Modification,
37,.,D
37,END,END
38,START,START
38,2172,
38,.,D
38,Hallet,
38,frère,
38,et,
38,sœurs,
38,",",D
38,à,
38,Opheylissem,
38,.,D
38,—,D
38,Constitution,
38,.,D
38,END,END
39,START,START
39,2073,
39,Hamels,
39,et,
39,Vanderlinden,
39,",",D
39,à,
39,Anvers,
39,.,D
39,—,D
39,Dissolution,
39,.,D
39,END,END
40,START,START
40,2985,
40,.,D
40,Hanlet,
40,et,
40,Levaux,
40,",",D
40,à,
40,Dison,
40,.,D
40,—,D
40,Constitution,
40,.,D
40,END,END
