id,value,key
1,START,START
1,446.,ID
1,De,N
1,Smedt,N
1,en,N
1,"Co.,",N
1,te,AD
1,Antwerpen.,AD
1,Stichting.,EV
1,END,END
2,START,START
2,1410.,ID
2,Id.,N
2,Onthinding.,EV
2,END,END
3,START,START
3,88.,ID
3,De,N
3,Smet,N
3,"(Gebroeders),",N
3,opvolgers,N
3,van,N
3,J.,N
3,De,N
3,Zomergem.,AD
3,Stichting.,EV
3,END,END
4,START,START
4,505.,ID
4,"Deulin,",N
4,à,AD
4,Jumet.,AD
4,Dissolution.,EV
4,END,END
5,START,START
5,319.,ID
5,Devin,N
5,et,N
5,"Vanmosuinck,",N
5,à,AD
5,Chanxhe-Sprimont.-,AD
5,Constitution.,EV
5,END,END
6,START,START
6,462.,ID
6,Devos,N
6,et,N
6,Baugniet,N
6,"frères,",N
6,à,AD
6,Anvers.—,AD
6,Constitution.,EV
6,END,END
7,START,START
7,1529.,ID
7,De,N
7,Vriesen,N
7,et,N
7,"Cie,",N
7,à,AD
7,Bruxelles.--,AD
7,Clôture,EV
7,de,EV
7,liquidation.,EV
7,END,END
8,START,START
8,1475.,ID
8,Devroede,N
8,et,N
8,"Bolle,",N
8,à,AD
8,Laeken.-,AD
8,Constitution.,EV
8,END,END
9,START,START
9,589.,ID
9,Deweerdt,N
9,et,N
9,"Cie,",N
9,te,AD
9,Rousselare.,AD
9,Stichting.,EV
9,END,END
10,START,START
10,1240.,ID
10,Dewette,N
10,et,N
10,"Destobbeleir,",N
10,à,AD
10,Laeken.,AD
10,Constitution.,EV
10,END,END
11,START,START
11,958.,ID
11,"Dewez,",N
11,à,AD
11,Bouhaye,AD
11,(Battice).,AD
11,Constitution.,EV
11,END,END
12,START,START
12,389.,ID
12,Dewèze,N
12,et,N
12,"Brabandt,",N
12,à,AD
12,Alost.,AD
12,Constitution.,EV
12,END,END
13,START,START
13,1203.,ID
13,De,N
13,Wolf,N
13,frères,N
13,et,N
13,"Cammaert,",N
13,à,AD
13,Schaerbeek.,AD
13,Dissolution.,EV
13,END,END
14,START,START
14,118.,ID
14,Dewulf,N
14,"frères,",N
14,à,AD
14,Bruges.,AD
14,Constitution.,EV
14,END,END
15,START,START
15,68.,ID
15,Ditmar,N
15,et,N
15,"Weisser,",N
15,à,AD
15,Anvers.,AD
15,Constitution.,EV
15,END,END
16,START,START
16,1437.,ID
16,Domken,N
16,"frères,",N
16,à,AD
16,Verviers.,AD
16,Régularisation,EV
16,de,EV
16,contrat.,EV
16,END,END
17,START,START
17,32.,ID
17,"Donny,",N
17,à,AD
17,Gand.,AD
17,Constitution.,EV
17,END,END
18,START,START
18,1533.,ID
18,Druart,N
18,et,N
18,"Remy,",N
18,à,AD
18,La,AD
18,Buissière.,AD
18,Constitution.,EV
18,END,END
19,START,START
19,911.,ID
19,Dubois,N
19,et,N
19,"Cherón,",N
19,à,AD
19,Ecausinnesd'Enghien.,AD
19,Dissolution.,EV
19,END,END
20,START,START
20,1285.,ID
20,Dubois,N
20,et,N
20,"Cie,",N
20,à,AD
20,Bruxelles.,AD
20,Constitution.,EV
20,END,END
21,START,START
21,1512.,ID
21,Id.,N
21,Dissolution.,EV
21,END,END
22,START,START
22,248.,ID
22,Dubois,N
22,et,N
22,fils,N
22,"(Veuve),",N
22,à,AD
22,Bruxelles.,AD
22,Dissolution.,EV
22,END,END
23,START,START
23,182.,ID
23,Duboscq,N
23,et,N
23,Cie,N
23,"(Epoise),",N
23,à,AD
23,Bruxelles.,AD
23,Dissolution.,EV
23,END,END
24,START,START
24,174.,ID
24,Duchateau,N
24,"(Veuve),",N
24,"Majors,",N
24,"Pennart,",N
24,"Louvière,",AD
24,Changement,EV
24,de,EV
24,raison,EV
24,sociale.,EV
24,END,END
25,START,START
25,385.,ID
25,Id.,N
25,Changement,EV
25,de,EV
25,raison,EV
25,sociale.,EV
25,END,END
26,START,START
26,149.,ID
26,Duck,N
26,et,N
26,"Cie,",N
26,à,AD
26,Bruxelles.,AD
26,Constitution.,EV
26,END,END
27,START,START
27,135.,ID
27,Dullière,N
27,et,N
27,"Mousset,",N
27,à,AD
27,Ransart.,AD
27,Transfert,EV
27,du,EV
27,siège,EV
27,social.,EV
27,END,END
28,START,START
28,1180.,ID
28,Dupont,N
28,et,N
28,"Cie,",N
