id,value,key
1,START,START
1,1440.,ID
1,Bessetti,N
1,et,N
1,Malevez,N
1,à,AD
1,Vervies,AD
1,-,EV
1,Constitution.,EV
1,END,END
2,START,START
2,843.,ID
2,Bernard,N
2,et,N
2,De,N
2,Loose,N
2,à,AD
2,Bruxelles.,AD
2,-,EV
2,Constitution.,EV
2,END,END
3,START,START
3,155.,ID
3,Bultinck,N
3,à,AD
3,Gand.,AD
3,-,EV
3,Constitution.,EV
3,END,END
4,START,START
4,1113.,ID
4,Bulens,N
4,frères,N
4,à,AD
4,Molebeek-Saint-Jean.,AD
4,-,EV
4,Dissolution.,EV
4,END,END
5,START,START
5,47.,ID
5,Castilhon,N
5,Jacquier,N
5,et,N
5,Zoude,N
5,à,AD
5,Neufchâteau.,AD
5,-,EV
5,Constitution.,EV
5,END,END
6,START,START
6,1924.,ID
6,De,N
6,Jaegher,N
6,et,N
6,Bruneel,N
6,à,AD
6,Courtrai.,AD
6,-,EV
6,Constitution.,EV
6,END,END
7,START,START
7,666.,ID
7,Graff,N
7,et,N
7,Maquinay,N
7,à,AD
7,Anvers.,AD
7,-,EV
7,Constitution.,EV
7,END,END
8,START,START
8,950.,ID
8,Gilliot,N
8,C.,N
8,et,N
8,A.,N
8,à,AD
8,Anvers.,AD
8,-,EV
8,Circulaire.,EV
8,END,END
9,START,START
9,1550.,ID
9,De,N
9,Volder,N
9,et,N
9,Wauters,N
9,à,AD
9,Thielt.,AD
9,-,EV
9,Prorogation.,EV
9,END,END
10,START,START
10,2061.,ID
10,Gerain,N
10,et,N
10,fils,N
10,à,AD
10,Couvin.,N
10,-,EV
10,Constitution.,EV
10,END,END
11,START,START
11,729.,ID
11,Jacobsen,N
11,et,N
11,Maas,N
11,à,AD
11,Anvers.,AD
11,-,EV
11,Constitution.,EV
11,END,END
12,START,START
12,785.,ID
12,Jorissen,N
12,et,N
12,Mathieu,N
12,à,AD
12,Liège.,AD
12,-,EV
12,Dissolution.,EV
12,END,END
13,START,START
13,885.,ID
13,Mechelaere,N
13,et,N
13,Cie,N
13,à,AD
13,Bruges.,AD
13,-,EV
13,Constitution.,EV
13,END,END
14,START,START
14,1090.,ID
14,Miècret,N
14,et,N
14,Turquais,N
14,à,AD
14,Zetrud-Lumay.,AD
14,-,EV
14,Dissolution.,EV
14,END,END
15,START,START
15,971.,ID
15,Navarre-Lambart,N
15,et,N
15,Cie,N
15,à,AD
15,Nieuwenrode,AD
15,(Wolverthem.),AD
15,-,EV
15,Constitution.,EV
15,END,END
16,START,START
16,1698.,ID
16,Romedemme,N
16,et,N
16,Cie,N
16,à,AD
16,Liège.,AD
16,-,EV
16,Dissolution.,EV
16,END,END
17,START,START
17,1200.,ID
17,Sauvage,N
17,et,N
17,Cie,N
17,à,AD
17,Ensival.,AD
17,-,EV
17,Constitution.,EV
17,END,END
18,START,START
18,1040.,ID
18,Thibaut,N
18,et,N
18,Hastir-Deleuze,N
18,à,AD
18,Ciney.,AD
18,-,EV
18,Dissolution.,EV
18,END,END
19,START,START
19,648.,ID
19,Venkeleer,N
19,et,N
19,Cie,N
19,à,AD
19,Anvers.,AD
19,-,EV
19,Dissolution.,EV
19,END,END
20,START,START
20,192.,ID
20,Villers,N
20,et,N
20,Cie,N
20,à,AD
20,Spa.,AD
20,-,EV
20,Constitution.,EV
20,END,END
21,START,START
21,2091.,ID
21,Bodart,N
21,et,N
21,Cie,N
21,à,AD
21,Louvain.,AD
21,-,EV
21,Prorogation.,EV
21,END,END
22,START,START
22,1035.,ID
22,Collin,N
22,et,N
22,Cie,N
22,à,AD
22,Anvers.,AD
22,-,EV
22,Dissolution.,EV
22,END,END
23,START,START
23,170.,ID
23,Wuytack,N
23,H.,N
23,à,AD
23,Bruxelles.,AD
23,-,EV
23,Constitution,EV
23,END,END
24,START,START
24,85.,ID
24,Malherbe,N
24,Neujean,N
24,et,N
24,Cie,N
24,à,AD
24,Verviers.,AD
24,-,EV
24,Dissolution.,EV
24,END,END
25,START,START
25,1994.,ID
25,Schuchard,N
25,et,N
25,Cie,N
25,à,AD
25,Anvers.,AD
25,-,EV
25,Constitution.,EV
25,END,END
26,START,START
26,348.,ID
26,Agriculture,N
26,belge,N
26,(l'),N
26,à,AD
26,Liège.,AD
26,-,EV
26,Constitution.,EV
26,END,END
27,START,START
27,4758.,ID
27,Amidonnerie,N
27,franco-belge,N
27,à,AD
27,Bruxelles.,AD
27,-,EV
27,Situation,EV
27,du,EV
27,capital,EV
27,social.,EV
27,Liste,EV
27,des,EV
27,actionnaires.,EV
27,END,END
28,START,START
28,510.,ID
28,Assurances,N
28,belges,N
28,(les),N
28,à,AD
28,Bruxelles.,AD
28,-,EV
28,Ratification.,EV
28,END,END
29,START,START
29,93.,ID
29,Banque,N
29,de,N
29,Visé.,N
29,-,EV
29,Bilan,EV
29,au,EV
29,22,EV
29,décembre,EV
29,1883.,EV
29,END,END
30,START,START
30,123.,ID
30,Zurstrassen,N
30,J.,N
30,à,AD
30,Vervies.,AD
30,-,EV
30,Dissolution.,EV
30,END,END
31,START,START
31,1416.,ID
31,Belge-Américaine,AD
31,(Compagnie),N
31,à,AD
31,Bruxelles.,AD
31,-,EV
31,Assemblée,EV
31,générale,EV
31,du,EV
31,5,EV
31,août,EV
31,1884.,EV
31,END,END
32,START,START
32,693.,ID
32,Belgique,N
32,(la),N
32,à,AD
32,Bruxelles.,AD
32,-,EV
32,Bilan,EV
32,et,EV
32,compte,EV
32,de,EV
32,profits,EV
32,et,EV
32,pertes,EV
32,au,EV
32,31,EV
32,décembre,EV
32,1883.,EV
32,END,END
33,START,START
33,1613.,ID
33,Brasserie,N
33,de,N
33,l'Ancre,N
33,à,AD
33,Ostende.,N
33,-,EV
33,Constitution.,EV
33,END,END
34,START,START
34,1151.,ID
34,Briqueteries,N
34,et,N
34,tuileries,N
34,Saint-Joseph,N
34,à,AD
34,Turnhout.,AD
34,-,EV
34,Bilan,EV
34,au,EV
34,31,EV
34,mars,EV
34,1884.,EV
34,END,END
35,START,START
35,1965.,ID
35,Briqueteries,N
35,de,N
35,Ter-Eist,N
35,(Duffel).,AD
35,-,EV
35,Dissolution.,EV
35,END,END
36,START,START
36,571.,ID
36,Carrières,N
36,d'Anton-sur-Meuse,N
36,à,AD
36,Bruxelles.,AD
36,-,EV
36,Bilan,EV
36,au,EV
36,31,EV
36,décembre,EV
36,1883.,EV
36,END,END
37,START,START
37,1766.,ID
37,Carrières,N
37,de,N
37,grés,N
37,de,N
37,Poulseur.,AD
37,-,EV
37,Modifications,EV
37,aux,EV
37,status.,EV
37,END,END
38,START,START
38,258.,ID
38,Charbonnages,N
38,de,N
38,la,N
38,Réunion,N
38,et,N
38,de,N
38,Serre,N
38,et,N
38,Magrawe,N
38,à,AD
38,Gilly.,AD
38,-,EV
38,Assemblée,EV
38,générale,EV
38,du,EV
38,28,EV
38,janvier,EV
38,1884.,EV
38,END,END
39,START,START
39,898.,ID
39,Charbonnage,N
39,de,N
39,Bois,N
39,communal,N
39,à,AD
39,Fleurus.,AD
39,-,EV
39,Bilan,EV
39,et,EV
39,compte,EV
39,de,EV
39,prots,EV
39,et,EV
39,pertes,EV
39,au,EV
39,31,EV
39,décembre,EV
39,1883.,EV
39,END,END
40,START,START
40,929.,ID
40,Charbonnages,N
40,de,N
40,Bonne-Foi-Hareng,N
40,à,AD
40,Herstal.,AD
40,-,EV
40,Bilan,EV
40,au,EV
40,31,EV
40,décembre,EV
40,1883.,EV
40,END,END
41,START,START
41,936.,ID
41,Charbonnière,N
41,de,N
41,Bonne-Foi-Hareng,N
41,(Société),N
41,à,AD
41,Herstal.,AD
41,-,EV
41,Règlement,EV
41,d'administration.,EV
41,END,END
42,START,START
42,1049.,ID
42,Charbonnages,N
42,des,N
42,Grand-Conty,N
42,et,N
42,Spinois,N
42,à,AD
42,Gosselies.,AD
42,-,EV
42,Bilan,EV
42,compte,EV
42,de,EV
42,profits,EV
42,et,EV
42,peries,EV
42,et,EV
42,situation,EV
42,du,EV
42,capital,EV
42,au,EV
42,31,EV
42,décembre,EV
42,1883.,EV
42,END,END
43,START,START
43,2048.,ID
43,Charbonnages,N
43,de,N
43,la,N
43,Grande-Galerie,N
43,à,AD
43,Auvelais.,AD
43,-,EV
43,Bilan,EV
43,et,EV
43,compte,EV
43,de,EV
43,profits,EV
43,et,EV
43,pertes,EV
43,au,EV
43,31,EV
43,octobre,EV
43,1884.,EV
43,END,END
44,START,START
44,424.,ID
44,Chauffage,N
44,et,N
44,ventilation,N
44,combinés,N
44,à,AD
44,Liège.,AD
44,-,EV
44,Bilan,EV
44,et,EV
44,compte,EV
44,de,EV
44,profits,EV
44,et,EV
44,pertes,EV
44,au,EV
44,30,EV
44,décembre,EV
44,1883.,EV
44,END,END
45,START,START
45,280.,ID
45,Chemin,N
45,de,N
45,fer,N
45,de,N
45,Valence,N
45,à,AD
45,Liria,AD
45,à,AD
45,Bruxelles.,AD
45,-,EV
45,Assemblée,EV
45,générale,EV
45,du,EV
45,27,EV
45,janvier,EV
45,1884.,EV
45,END,END
46,START,START
46,1322.,ID
46,Charbonnage,N
46,de,N
46,Forte-Taille,N
46,à,AD
46,Montigny-leTIlleul.,AD
46,-,EV
46,Bilan,EV
46,au,EV
46,31,EV
46,mars,EV
46,1884.,EV
46,END,END
47,START,START
47,797.,ID
47,Découpage,N
47,mécanique,N
47,(Société,N
